,Date,Count,Offense
0,2019-01-01,7,Fraud
1,2019-01-01,1,Vandalism
2,2019-01-02,2,Assault
3,2019-01-10,1,Fraud
4,2019-01-16,1,Assault
5,2019-01-17,1,Fraud
6,2019-01-19,1,Assault
7,2019-01-21,1,Fraud
8,2019-01-21,1,Assault
9,2019-01-23,1,Vandalism
10,2019-02-01,1,Fraud
11,2019-02-08,1,Drugs
12,2019-02-12,1,Fraud
13,2019-02-13,1,Fraud
14,2019-02-20,1,Assault
15,2019-02-23,1,Assault
16,2019-03-01,3,Fraud
17,2019-03-01,1,Drugs
18,2019-03-01,1,Vandalism
19,2019-03-07,1,Assault
20,2019-03-10,1,Drugs
21,2019-03-11,1,Fraud
22,2019-03-15,1,Drugs
23,2019-03-16,1,Fraud
24,2019-03-18,1,Fraud
25,2019-03-19,1,Assault
26,2019-03-20,1,Fraud
27,2019-03-21,1,Fraud
28,2019-03-23,1,Drugs
29,2019-04-01,1,Assault
30,2019-04-01,3,Fraud
31,2019-04-03,1,Fraud
32,2019-04-05,1,Assault
33,2019-04-05,1,Fraud
34,2019-04-10,1,Fraud
35,2019-04-10,1,Drugs
36,2019-04-12,1,Fraud
37,2019-04-15,1,Fraud
38,2019-04-16,1,Vandalism
39,2019-04-19,1,Fraud
40,2019-04-22,1,Assault
41,2019-04-23,1,Fraud
42,2019-04-25,1,Fraud
43,2019-05-01,1,Drugs
44,2019-05-01,1,Vandalism
45,2019-05-01,6,Fraud
46,2019-05-07,1,Drugs
47,2019-05-08,1,Vandalism
48,2019-05-10,1,Drugs
49,2019-05-13,1,Fraud
50,2019-05-15,1,Drugs
51,2019-05-16,1,Drugs
52,2019-05-17,1,Fraud
53,2019-05-18,1,Assault
54,2019-05-22,2,Fraud
55,2019-05-23,1,Fraud
56,2019-05-23,1,Drugs
57,2019-05-25,1,Assault
58,2019-05-26,1,Assault
59,2019-05-27,1,Drugs
60,2019-05-31,1,Drugs
61,2019-06-01,3,Fraud
62,2019-06-02,1,Assault
63,2019-06-04,2,Fraud
64,2019-06-05,1,Vandalism
65,2019-06-06,1,Fraud
66,2019-06-07,1,Drugs
67,2019-06-14,1,Fraud
68,2019-06-18,1,Fraud
69,2019-06-20,1,Fraud
70,2019-06-22,1,Drugs
71,2019-06-22,1,Assault
72,2019-06-24,1,Assault
73,2019-06-26,1,Drugs
74,2019-06-27,1,Fraud
